Nr      tilename      min_lat      max_lat      min_lon      max_lon
271      N10E010_full      10.001      10.999      10.001      10.999
272      N10E011_full      10.001      10.999      11.001      11.999
273      N10E012_full      10.001      10.999      12.001      12.999
274      N10E013_full      10.001      10.999      13.001      13.999
275      N10E014_full      10.001      10.999      14.001      14.999
276      N10E015_full      10.001      10.999      15.001      15.999
277      N10E016_full      10.001      10.999      16.001      16.999
278      N10E017_full      10.001      10.999      17.001      17.999
279      N10E018_full      10.001      10.999      18.001      18.999
280      N10E019_full      10.001      10.999      19.001      19.999
281      N10E020_full      10.001      10.999      20.001      20.999
282      N10E021_full      10.001      10.999      21.001      21.999
283      N10E022_full      10.001      10.999      22.001      22.999
284      N10E023_full      10.001      10.999      23.001      23.999
285      N10E024_full      10.001      10.999      24.001      24.999
286      N10E025_full      10.001      10.999      25.001      25.999
287      N10E026_full      10.001      10.999      26.001      26.999
288      N10E027_full      10.001      10.999      27.001      27.999
289      N10E028_full      10.001      10.999      28.001      28.999
290      N10E029_full      10.001      10.999      29.001      29.999
291      N11E000_full      11.001      11.999      0.001      0.999
292      N11E001_full      11.001      11.999      1.001      1.999
293      N11E002_full      11.001      11.999      2.001      2.999
294      N11E003_full      11.001      11.999      3.001      3.999
295      N11E004_full      11.001      11.999      4.001      4.999
296      N11E005_full      11.001      11.999      5.001      5.999
297      N11E006_full      11.001      11.999      6.001      6.999
298      N11E007_full      11.001      11.999      7.001      7.999
299      N11E008_full      11.001      11.999      8.001      8.999
300      N11E009_full      11.001      11.999      9.001      9.999
301      N11E010_full      11.001      11.999      10.001      10.999
302      N11E011_full      11.001      11.999      11.001      11.999
303      N11E012_full      11.001      11.999      12.001      12.999
304      N11E013_full      11.001      11.999      13.001      13.999
305      N11E014_full      11.001      11.999      14.001      14.999
306      N11E015_full      11.001      11.999      15.001      15.999
307      N11E016_full      11.001      11.999      16.001      16.999
308      N11E017_full      11.001      11.999      17.001      17.999
309      N11E018_full      11.001      11.999      18.001      18.999
310      N11E019_full      11.001      11.999      19.001      19.999
311      N11E020_full      11.001      11.999      20.001      20.999
